trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-75.93083870650374,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",30,0,-82.32993736398477,"{0: 21, 1: 3, 2: 3, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-80.44624519901399,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-125.8940760824012,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-167.17897674777592,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-106.12694851809846,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-95.54556840013991,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-63.1669158522502,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-81.53091682518483,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-129.4296937763749,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,11,-25.992385415113468,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-92.95210295995271,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-39.339095563573586,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-199.09789314267124,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-114.01416171965283,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",30,0,-100.25293863568135,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-82.11303279185167,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-50.606851364786,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",30,5,-107.10963415869854,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-119.63636149445055,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",25,4,-114.00485008974287,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 3}",1
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",35,16,-72.04439206059054,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,10,-41.13132508778089,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",30,0,-58.35219742198516,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,0,-108.23280538670322,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,0,-149.1602355031012,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",30,0,-51.73840955160016,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",25,0,-121.04624143324493,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-37.74209629785463,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-5.719393660541261,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",20,11,-61.442452107658326,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",30,0,-141.96171195286888,"{0: 19, 1: 0, 2: 8, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",25,0,-69.55863376757024,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-53.282692267970454,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",30,2,-83.25413152041735,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-72.8857491279118,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",20,0,-15.512941655932972,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-129.14367894351426,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,0,-47.794533499240934,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,9,-72.53787242719454,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-90.63716975453603,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-36.32036781438442,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",30,0,-157.47260062583186,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,0,-50.28691547664556,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,3,11.50156962176521,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",30,22,-6.933314051173059,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,12.537740629401005,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-51.044485753891976,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.611117239532865}",20,0,-83.7672019537576,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",30,0,-31.12755252025781,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.598956006466161}",25,16,-17.679663963376377,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",30,0,-66.80318645827185,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",25,6,-36.314640303812325,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,0,-43.7665774307782,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,0,-72.60978140442434,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,0,-90.67369378781801,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",30,0,4.310004597401305,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",25,8,-46.27007711367318,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,8,-13.803752325721227,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,0,-25.90085007205778,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,17,-27.32267252062267,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",30,0,-81.27393828598011,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,0,-105.94377973529265,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",30,16,12.360909652181725,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,12,0.13293078188514196,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",25,0,-19.322626322069425,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",25,11,-17.57810730054016,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,4,-57.06661025192363,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,5,11.585437066156238,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",20,0,-40.39394582443557,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",25,11,-48.25689630410156,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,0,-30.81913915494076,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,0,6.6929810031045625,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",30,23,8.01484008754116,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",25,0,10.734911932327792,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",30,4,-64.02454433606815,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",20,16,8.070941243065771,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",20,3,-26.29390612128639,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",25,13,-48.96857236793958,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",20,0,-89.18385142302827,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,0,18.27874173045656,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",35,7,-57.697501263929446,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",25,15,17.172254633220554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",30,7,-32.257979974224234,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",20,13,-9.494450019639455,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.421334222154768}",30,0,-51.798126167954166,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",20,5,-25.429584288168336,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,8,0.6471395652947152,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",25,13,-0.19463894437468143,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",25,15,17.23247304306683,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",35,0,-11.35987975491155,"{0: 31, 1: 0, 2: 3, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",25,1,35.20764312426578,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,0,-110.0561165478926,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",20,10,1.3192405350334793,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,12,-71.3442983783861,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",20,12,-18.266087238629233,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",25,5,0.8746576015071168,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",20,0,-9.612722339465241,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,8,-5.042644196891957,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",30,15,-48.007309361468494,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,8,18.090575752783028,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",20,2,5.927804404311996,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",20,0,-36.37093982072488,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",20,6,9.766053610992659,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",25,7,29.029092114845156,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,14,5.856397387395361,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",20,14,9.075895519553521,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,16,9.793827268473837,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,7,12.9890045127844,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,10,-39.31139646029286,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",25,17,16.007049272168345,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,15,17.171976756769755,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,0,19.781255816643842,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",25,11,-41.77122260552767,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,0,-88.13336257248794,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,15,4.268860790967647,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",20,1,19.303572929425027,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",20,7,12.560849093126556,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",25,8,1.6349162434766005,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",20,14,-0.21319663379041676,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.296386587399208}",25,12,2.8383942540021287,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",20,10,-35.43382615494327,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",20,14,4.152616772060108,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",25,17,-13.594755088298442,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",20,9,-12.739151888039666,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",25,0,7.135739782883477,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",35,0,-65.94496678235764,"{0: 28, 1: 1, 2: 2, 3: 4, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",25,9,-12.76545925806949,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",30,4,7.461331143340334,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",35,0,-55.42244949061519,"{0: 28, 1: 0, 2: 5, 3: 2, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",25,17,14.29000449429364,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",25,16,14.723100744143906,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",20,5,-32.79743648202119,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",30,14,-4.997782409035457,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,12,9.029415457568318,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
